Number of storey,Height,Bays-X,Bays-Y,Bay Width,Fundamental Timeperiod
2,3,2,2,3,0.14065359067516076
2,3,2,2,3.5,0.13833206245809268
2,3,2,2,4,0.13610636871211704
2,3,2,2,4.5,0.1348355128675708
2,3,2,2,5,0.13425631010771003
2,3,2,3,3,0.1455451658609649
2,3,2,3,3.5,0.14333419860641586
2,3,2,3,4,0.14119135801387814
2,3,2,3,4.5,0.14001616550527507
2,3,2,3,5,0.13954251465189368
2,3,2,4,3,0.1484028576284073
2,3,2,4,3.5,0.14625351476702983
2,3,2,4,4,0.1441564210521939
2,3,2,4,4.5,0.14303466676410276
2,3,2,4,5,0.1426203768881165
2,3,3,2,3,0.14554516586096491
2,3,3,2,3.5,0.14333419860641594
2,3,3,2,4,0.1411913580138781
2,3,3,2,4.5,0.14001616550527504
2,3,3,2,5,0.1395425146518937
2,3,3,3,3,0.14384123555711723
2,3,3,3,3.5,0.14144951782353823
2,3,3,3,4,0.1392178397924389
2,3,3,3,4.5,0.1380090238401109
2,3,3,3,5,0.1375301533469919
2,3,3,4,3,0.14660495268290005
2,3,3,4,3.5,0.1442745481123148
2,3,3,4,4,0.14208996652512174
2,3,3,4,4.5,0.14093654560250843
2,3,3,4,5,0.14051919671663277
2,3,4,2,3,0.14840285762840727
2,3,4,2,3.5,0.1462535147670298
2,3,4,2,4,0.1441564210521939
2,3,4,2,4.5,0.14303466676410273
2,3,4,2,5,0.14262037688811652
2,3,4,3,3,0.1466049526829001
2,3,4,3,3.5,0.14427454811231474
2,3,4,3,4,0.14208996652512174
2,3,4,3,4.5,0.1409365456025084
2,3,4,3,5,0.1405191967166328
2,3,4,4,3,0.14565937828819508
2,3,4,4,3.5,0.14324157444007762
2,3,4,4,4,0.14101733487232562
2,3,4,4,4.5,0.1398519130767874
2,3,4,4,5,0.13943636929335135
2,3.5,2,2,3,0.1652796861557933
2,3.5,2,2,3.5,0.16492421576020483
2,3.5,2,2,4,0.15970303559197907
2,3.5,2,2,4.5,0.15615603621898524
2,3.5,2,2,5,0.15381979561497655
2,3.5,2,3,3,0.17090643907104905
2,3.5,2,3,3.5,0.17075858208789418
2,3.5,2,3,4,0.16553764765132592
2,3.5,2,3,4.5,0.16202146410319385
2,3.5,2,3,5,0.1597396021217486
2,3.5,2,4,3,0.17419539954689248
2,3.5,2,4,3.5,0.17416555911486667
2,3.5,2,4,4,0.16894187654748422
2,3.5,2,4,4.5,0.1654411017493363
2,3.5,2,4,5,0.16318861498473378
2,3.5,3,2,3,0.17090643907104905
2,3.5,3,2,3.5,0.17075858208789416
2,3.5,3,2,4,0.16553764765132592
2,3.5,3,2,4.5,0.16202146410319387
2,3.5,3,2,5,0.1597396021217486
2,3.5,3,3,3,0.16827995526908404
